2003-01|15617.02|-37.0|-731.43|14848.59|
2003-02|22587.05|-1950.92|-30.64|20605.49|
2003-03|39674.76|-5598.58|-300.27|33775.91|
2003-04|25405.89|-3696.27|-718.95|20990.67|
2003-05|22297.6|-5143.91|-89.87|17063.82|
2003-06|31064.05|-2919.89|-954.36|27189.8|
2003-07|24804.14|-9421.65|-1881.65|13500.84|
2003-08|27430.22|-9983.59|-44.77|17401.86|
2003-09|15945.39|-3766.05|-222.22|11957.12|
2003-10|11222.81|-4314.36|-378.52|6529.93|
2003-11|14340.14|-387.55|0.0|13952.59|
2003-12|17741.79|-10028.24|0.0|7713.55|
2004-01|13203.08|-2016.88|0.0|11186.2|
2004-02|9455.68|-2415.91|0.0|7039.77|
2004-03|28974.27|-6873.48|-1305.57|20795.22|
2004-04|31112.3|-2817.19|-3457.72|24837.39|
2004-05|27819.53|-3154.82|0.0|24664.71|
2004-06|25692.8|-8997.49|-134.8|16560.51|
2004-07|31765.13|-1760.46|-929.47|29075.2|
2004-08|31392.23|-16942.71|0.0|14449.52|
2004-09|9093.01|-1473.93|0.0|7619.08|
2004-10|13497.5|-4312.77|-282.52|8902.21|
2004-11|40375.12|-1477.05|-268.1|38629.97|
2004-12|8153.18|-2652.95|0.0|5500.23|
2005-01|25966.63|-443.22|0.0|25523.41|
2005-02|30011.32|-9510.3|0.0|20501.02|
2005-03|17580.57|-6784.95|-491.58|10304.04|
2005-04|14806.72|-2624.58|0.0|12182.14|
2005-05|17766.11|-5362.75|0.0|12403.36|
2005-06|12130.07|-2801.13|-187.46|9141.48|
2005-07|24927.93|-4112.85|-6235.64|14579.44|
2005-08|28690.24|-2536.28|-518.18|25635.78|
2005-09|54837.81|-19047.94|0.0|35789.87|
2005-10|71800.78|-8120.16|-343.49|63337.13|
2005-11|44213.7|-12624.01|-232.23|31357.46|
2005-12|27330.73|-18375.76|0.0|8954.97|
2006-01|17930.62|-3106.44|0.0|14824.18|
2006-02|16107.21|-2729.48|0.0|13377.73|
2006-03|55851.85|-12214.9|0.0|43636.95|
2006-04|35758.13|-3445.99|-1478.68|30833.46|
2006-05|26773.62|-4784.23|0.0|21989.39|
2006-06|29946.74|-863.77|0.0|29082.97|
2006-07|35979.95|-17323.62|0.0|18656.33|
2006-08|36759.93|-2964.33|0.0|33795.6|
2006-09|80544.67|-20560.24|-3830.6|56153.83|
2006-10|78868.66|-2342.74|0.0|76525.92|
2006-11|19626.38|-1865.96|-17.14|17743.28|
