1,3,2012,01,1,0
1,3,2012,01,2,0
1,3,2012,01,3,5
1,3,2012,01,4,10
1,3,2012,01,5,14
1,3,2012,01,6,19
1,3,2012,01,7,19
1,3,2012,01,8,19
1,3,2012,01,9,24
1,3,2012,01,10,29
1,3,2012,01,11,33
1,3,2012,01,12,38
1,3,2012,01,13,43
1,3,2012,01,14,43
1,3,2012,01,15,43
1,3,2012,01,16,48
1,3,2012,01,17,52
1,3,2012,01,18,57
1,3,2012,01,19,62
1,3,2012,01,20,67
1,3,2012,01,21,67
1,3,2012,01,22,67
1,3,2012,01,23,71
1,3,2012,01,24,76
1,3,2012,01,25,81
1,3,2012,01,26,86
1,3,2012,01,27,90
1,3,2012,01,28,90
1,3,2012,01,29,90
1,3,2012,01,30,95
1,3,2012,01,31,100
1,3,2012,02,1,5
1,3,2012,02,2,11
1,3,2012,02,3,16
1,3,2012,02,4,16
1,3,2012,02,5,16
1,3,2012,02,6,21
1,3,2012,02,7,26
1,3,2012,02,8,32
1,3,2012,02,9,37
1,3,2012,02,10,42
1,3,2012,02,11,42
1,3,2012,02,12,42
1,3,2012,02,13,47
1,3,2012,02,14,53
1,3,2012,02,15,58
1,3,2012,02,16,63
1,3,2012,02,17,68
1,3,2012,02,18,68
1,3,2012,02,19,68
1,3,2012,02,20,68
1,3,2012,02,21,68
1,3,2012,02,22,74
1,3,2012,02,23,79
1,3,2012,02,24,84
1,3,2012,02,25,84
1,3,2012,02,26,84
1,3,2012,02,27,89
1,3,2012,02,28,95
1,3,2012,02,29,100
1,3,2012,03,1,4
1,3,2012,03,2,8
1,3,2012,03,3,8
1,3,2012,03,4,8
1,3,2012,03,5,21
1,3,2012,03,6,25
1,3,2012,03,7,29
1,3,2012,03,8,33
1,3,2012,03,9,38
1,3,2012,03,10,38
1,3,2012,03,11,38
1,3,2012,03,12,42
1,3,2012,03,13,46
1,3,2012,03,14,50
1,3,2012,03,15,54
1,3,2012,03,16,58
1,3,2012,03,17,58
1,3,2012,03,18,58
1,3,2012,03,19,63
1,3,2012,03,20,67
1,3,2012,03,21,71
1,3,2012,03,22,75
1,3,2012,03,23,79
1,3,2012,03,24,79
1,3,2012,03,25,79
1,3,2012,03,26,83
1,3,2012,03,27,88
1,3,2012,03,28,92
1,3,2012,03,29,96
1,3,2012,03,30,100
1,3,2012,03,31,100
1,3,2012,04,1,0
1,3,2012,04,2,5
1,3,2012,04,3,10
1,3,2012,04,4,15
1,3,2012,04,5,20
1,3,2012,04,6,20
1,3,2012,04,7,20
1,3,2012,04,8,20
1,3,2012,04,9,25
