1,1HAG,1HAG,A
1,1HAN,1HAN,A
1,1TO,1TO,A
1,1VG,1VG,A
1,ALLEN,ALLEN,A
1,ANDEC,ANDEC,A
1,ARMSTR,ARMSTR,A
1,CIFUNS,CIFUNS,A
1,ECERAM,ECERAM,A
1,EDESA,EDESA,A
1,ENERPA,ENERPA,A
1,F.I.V,F.I.V,A
1,F.P.S.,F.P.S.,A
1,FAMAC,FAMAC,A
1,FRANKL,FRANKL,A
1,FUJI,FUJI,A
1,FV,FV,A
1,GORMAN,GORMAN,A
1,GRUNDF,GRUNDF,A
1,GRUNDFOS,GRUNDFOS,A
1,HITACHI,HITACHI,A
1,IDEAL,IDEAL,A
1,IMPORT,IMPORT,A
1,INOXT,INOXT,A
1,INOXTE,INOXTE,A
1,INSINK,INSINK,A
1,JET,JET,A
1,KITO,KITO,A
1,KITZ,KITZ,A
1,KLINGE,KLINGE,A
1,KOHLER,KOHLER,A
1,MARK,MARK,A
1,MILWAU,MILWAU,A
1,MYERS,MYERS,A
1,NACION,NACION,A
1,NIDEC,NIDEC,A
1,NOVACE,NOVACE,A
1,OTRAS MARC,OTRAS MARC,A
1,OTRAS_MARC,OTRAS_MARC,A
1,PLAGAM,PLAGAM,A
1,PLETINA_N,PLETINA_N,A
1,POWERS,POWERS,A
1,REDWHI,REDWHI,A
1,RIALTO,RIALTO,A
1,RIDGID,RIDGID,A
1,ROOFTE,ROOFTE,A
1,SIDEC,SIDEC,A
1,STAHL,STAHL,A
1,TECVAL,TECVAL,A
1,TEKA,TEKA,A
1,TUGALT,TUGALT,A
1,TUPY,TUPY,A
1,VEGA,VEGA,A
1,WELLMA,WELLMA,A
1,XIAMEN,XIAMEN,A
