4|384|PLETINA|DE 13 x 4.5mm. x 6 m|4.51|0.07|14|125|3.61|50.54|0.98|49.56|64.43
3|384|PLETINA|DE 13 x 4.5mm. x 6 m|4.51|0.07|18|125|3.61|64.98|1.26|63.72|64.43
4|440|PLETINA|DE 32 x 4.5mm. x 6mm.|9.08|0.02|69|125|7.26|500.94|1.38|499.56|454
3|440|PLETINA|DE 32 x 4.5mm. x 6mm.|9.08|0.02|183|125|7.26|1328.58|3.66|1324.92|454
4|442|PLETINA|DE 35 x 3mm. x 6mm.|7|0.01|54|125|5.6|302.4|0.54|301.86|700
3|442|PLETINA|DE 35 x 3mm. x 6mm.|7|0.01|1909|125|5.6|10690.4|19.09|10671.31|700
4|1158|METAL AMARILLO ASTM-B-36|1.5mm. 200 x 100 cm.|375.66|0.12|0|120|313.05|0|0|0|3130.5
3|1158|METAL AMARILLO ASTM-B-36|1.5mm. 200 x 100 cm.|375.66|0.12|79.5|120|313.05|24887.48|9.54|24877.94|3130.5
4|1198|ABRAZADERA ACERO INOX.|DE 1-1/4"|1.39|0.01|40|125|1.11|44.4|0.4|44|139
3|1198|ABRAZADERA ACERO INOX.|DE 1-1/4"|1.39|0.01|352|123.5|1.13|397.76|3.52|394.24|139
3|1222|ACOPLE COBRE (FUNDICION)|No. 703 DE 1/2" SO-HI|1.88|0.01|2|125|1.5|3|0.02|2.98|188
4|1224|ACOPLE COBRE (FUNDICION)|No. 703 DE 3/4" SO-HI|5.58|0.01|5|125|4.46|22.3|0.05|22.25|558
3|1224|ACOPLE COBRE (FUNDICION)|No. 703 DE 3/4" SO-HI|5.58|0.01|261|125|4.46|1164.06|2.61|1161.45|558
3|1325|ADAPTADOR PVC ESP-CAM HEMBRA ISO|DE 25mm. A 1/2"|0.26|0.01|160|123.5|0.21|33.6|1.6|32|26
4|1516|BRIDA GALV. ROSCADA|DE 1/2"|3.67|0.03|13|175|2.1|27.3|0.39|26.91|122.33
3|1516|BRIDA GALV. ROSCADA|DE 1/2"|3.67|0.03|242|175|2.1|508.2|7.26|500.94|122.33
4|1520|BRIDA GALV. ROSCADA|DE 1"|5.53|0.06|15|175|3.16|47.4|0.9|46.5|92.17
3|1520|BRIDA GALV. ROSCADA|DE 1"|5.53|0.06|496|175|3.16|1567.36|29.76|1537.6|92.17
4|1522|BRIDA GALV. ROSCADA|DE 1-1/4"|6.33|0.07|8|175|3.62|28.96|0.56|28.4|90.43
3|1522|BRIDA GALV. ROSCADA|DE 1-1/4"|6.33|0.07|132|175|3.62|477.84|9.24|468.6|90.43
4|1524|BRIDA GALV. ROSCADA|DE 1-1/2"|8.43|0.09|21|175|4.82|101.22|1.89|99.33|93.67
3|1524|BRIDA GALV. ROSCADA|DE 1-1/2"|8.43|0.09|80|175|4.82|385.6|7.2|378.4|93.67
4|1550|BRIDA SOLDAR  DIN-2633 (228 P.S.I.)|DE 3/4"|3.66|0.01|4|175|2.09|8.36|0.04|8.32|366
3|1550|BRIDA SOLDAR  DIN-2633 (228 P.S.I.)|DE 3/4"|3.66|0.01|153|175|2.09|319.77|1.53|318.24|366
4|1570|BRIDA ROSCADA DIN 2566-ND-16|DE 1/2"|2.99|0.01|18|135|2.21|39.78|0.18|39.6|299
3|1570|BRIDA ROSCADA DIN 2566-ND-16|DE 1/2"|2.99|0.01|60|135|2.21|132.6|0.6|132|299
4|1572|BRIDA ROSCADA DIN 2566-ND-16|DE 3/4"|3.47|0.01|4|135|2.57|10.28|0.04|10.24|347
3|1572|BRIDA ROSCADA DIN 2566-ND-16|DE 3/4"|3.47|0.01|5|135|2.57|12.85|0.05|12.8|347
4|1578|BRIDA ROSCADA DIN 2566-ND-16|DE 1-1/2"|4.7|0.01|1|135|3.48|3.48|0.01|3.47|470
3|1582|BRIDA ROSCADA NEGRA C-PERNOS|DE 3/4"|2.12|0.01|50|135|1.57|78.5|0.5|78|212
4|1586|BRIDA ROSCADA NEGRA C-PERNOS|DE 1-1/2"|4.24|0.01|4|135|3.14|12.56|0.04|12.52|424
3|1586|BRIDA ROSCADA NEGRA C-PERNOS|DE 1-1/2"|4.24|0.01|51|135|3.14|160.14|0.51|159.63|424
4|1624|BUSHING GALV. CLASE 150|DE 3/4" x 3/8"|0.76|0.01|76|175|0.43|32.68|0.76|31.92|76
3|1624|BUSHING GALV. CLASE 150|DE 3/4" x 3/8"|0.76|0.01|4404|175|0.43|1893.72|44.04|1849.68|76
4|1630|BUSHING GALV. CLASE 150|DE 1" x 3/8"|1.86|0.02|34|175|1.06|36.04|0.68|35.36|93
3|1630|BUSHING GALV. CLASE 150|DE 1" x 3/8"|1.86|0.02|203|175|1.06|215.18|4.06|211.12|93
4|1638|BUSHING GALV. CLASE 150|DE 1-1/4" x 3/8"|2.33|0.01|41|175|1.33|54.53|0.41|54.12|233
3|1638|BUSHING GALV. CLASE 150|DE 1-1/4" x 3/8"|2.33|0.01|306|175|1.33|406.98|3.06|403.92|233
4|1650|BUSHING GALV. CLASE 150|DE 1-1/2" x 3/4"|3.11|0.04|47|175|1.78|83.66|1.88|81.78|77.75
3|1650|BUSHING GALV. CLASE 150|DE 1-1/2" x 3/4"|3.11|0.04|7|175|1.78|12.46|0.28|12.18|77.75
4|1654|BUSHING GALV. CLASE 150|DE 1-1/2" x 1-1/4"|3.11|0.04|95|175|1.78|169.1|3.8|165.3|77.75
3|1654|BUSHING GALV. CLASE 150|DE 1-1/2" x 1-1/4"|3.11|0.04|200|175|1.78|356|8|348|77.75
4|1668|BUSHING GALV. CLASE 150|DE 2-1/2" x 1-1/4"|7.79|0.08|4|175|4.45|17.8|0.32|17.48|97.38
3|1668|BUSHING GALV. CLASE 150|DE 2-1/2" x 1-1/4"|7.79|0.08|361|175|4.45|1606.45|28.88|1577.57|97.38
4|1676|BUSHING GALV. CLASE 150|DE 3" x 1-1/4"|11.21|0.12|5|175|6.41|32.05|0.6|31.45|93.42
