1|IP110|110|0.0|0.0|0.0|10.0|0.0|10.0|FOBOS|2002-01-20 00:00:00|
1|IP125|125|10.0|8.0|5.0|12.5|15.0|6.25|FOBOS|2002-01-20 00:00:00|
1|IP135|135|12.0|10.0|8.0|18.8|12.0|18.8|FOBOS|2002-01-20 00:00:00|
1|IP140|140|12.0|10.0|8.0|23.2|12.0|23.2|FOBOS|2002-01-20 00:00:00|
1|IP150|150|18.0|15.0|8.0|23.0|18.0|23.0|FOBOS|2002-01-20 00:00:00|
1|IP155|155|18.0|15.0|10.0|27.1|18.0|27.1|FOBOS|2002-01-20 00:00:00|
1|IP160|160|20.0|15.0|10.0|28.0|20.0|28.0|FOBOS|2002-01-20 00:00:00|
1|IP165|165|20.0|15.0|10.0|32.0|21.0|32.0|FOBOS|2002-01-20 00:00:00|
1|IP170|170|35.0|15.0|10.0|32.6|22.0|32.6|FOBOS|2002-01-20 00:00:00|
1|IP175|175|25.0|15.0|10.0|31.25|23.0|31.25|FOBOS|2002-01-20 00:00:00|
1|IP180|180|25.0|15.0|10.0|35.0|24.0|35.0|FOBOS|2002-01-20 00:00:00|
1|IP185|185|25.0|15.0|10.0|38.75|25.0|38.75|FOBOS|2002-01-20 00:00:00|
1|IP190|190|25.0|15.0|10.0|42.5|26.0|42.5|FOBOS|2002-01-20 00:00:00|
1|IP195|195|25.0|15.0|10.0|46.25|27.0|46.25|FOBOS|2002-01-20 00:00:00|
1|IP200|200|25.0|15.0|10.0|50.0|28.0|50.0|FOBOS|2002-01-20 00:00:00|
1|IA135|135|12.0|10.0|8.0|18.8|12.0|18.8|FOBOS|2002-01-20 00:00:00|
1|IA140|140|12.0|10.0|8.0|23.2|12.0|23.2|FOBOS|2002-01-20 00:00:00|
1|IA150|150|18.0|12.0|10.0|23.0|18.0|23.0|FOBOS|2002-01-20 00:00:00|
1|IA155|155|18.0|12.0|10.0|27.1|18.0|27.1|FOBOS|2002-01-20 00:00:00|
1|IA160|160|18.0|12.0|10.0|31.2|18.0|31.2|FOBOS|2002-01-20 00:00:00|
1|IA165|165|18.0|12.0|10.0|35.3|18.0|35.3|FOBOS|2002-01-20 00:00:00|
1|IA170|170|20.0|15.0|10.0|36.0|20.0|36.0|FOBOS|2002-01-20 00:00:00|
1|IA175|175|20.0|15.0|10.0|40.0|20.0|40.0|FOBOS|2002-01-20 00:00:00|
1|IA180|180|20.0|15.0|10.0|44.0|20.0|44.0|FOBOS|2002-01-20 00:00:00|
1|IA185|185|20.0|15.0|10.0|48.0|20.0|48.0|FOBOS|2002-01-20 00:00:00|
1|IA190|190|20.0|15.0|10.0|52.0|20.0|52.0|FOBOS|2002-01-20 00:00:00|
