2003-12-31|300.0|1|DIAS TRABAJADOS|1|DI|15.0|
2003-12-31|300.0|2|V.D. TRABAJADOS|2|DI|150.0|
2003-12-31|300.0|7|HORAS 50%   |7|DI|3.5|
2003-12-31|300.0|8|V. HORAS 50%   |8|DI|6.56|
2003-12-31|300.0|9|HORAS 100%    |9|DI|7.4|
2003-12-31|300.0|10|V. HORAS 100%  |10|DI|18.5|
2003-12-31|300.0|11|DIAS VACACIONES|11|DI|0.0|
2003-12-31|300.0|12|VALOR VACACIONE|12|DI|0.0|
2003-12-31|300.0|14|RUS            |14|DI|8.0|
2003-12-31|300.0|55|SS-APORTE PERS.|55|DE|16.37|
2003-12-31|300.0|61|OTROS DSCTO|59|DE|0.0|
2004-01-15|308.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-01-15|308.0|2|V.D. TRABAJADOS|2|DI|154.0|
2004-01-15|308.0|7|HORAS 50%   |7|DI|13.5|
2004-01-15|308.0|8|V. HORAS 50%   |8|DI|25.99|
2004-01-15|308.0|9|HORAS 100%    |9|DI|2.0|
2004-01-15|308.0|10|V. HORAS 100%  |10|DI|5.13|
2004-01-15|308.0|11|DIAS VACACIONES|11|DI|0.0|
2004-01-15|308.0|12|VALOR VACACIONE|12|DI|0.0|
2004-01-15|308.0|55|SS-APORTE PERS.|55|DE|17.31|
2004-01-15|308.0|61|OTROS DSCTO|59|DE|0.0|
2004-01-31|323.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-01-31|323.0|2|V.D. TRABAJADOS|2|DI|161.5|
2004-01-31|323.0|7|HORAS 50%   |7|DI|11.0|
2004-01-31|323.0|8|V. HORAS 50%   |8|DI|22.21|
2004-01-31|323.0|9|HORAS 100%    |9|DI|3.0|
2004-01-31|323.0|10|V. HORAS 100%  |10|DI|8.07|
2004-01-31|323.0|11|DIAS VACACIONES|11|DI|0.0|
2004-01-31|323.0|12|VALOR VACACIONE|12|DI|0.0|
2004-01-31|323.0|14|RUS            |14|DI|8.0|
2004-01-31|323.0|55|SS-APORTE PERS.|55|DE|17.93|
2004-01-31|323.0|61|OTROS DSCTO|59|DE|0.0|
2004-02-15|323.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-02-15|323.0|2|V.D. TRABAJADOS|2|DI|161.5|
2004-02-15|323.0|7|HORAS 50%   |7|DI|8.5|
2004-02-15|323.0|8|V. HORAS 50%   |8|DI|17.16|
2004-02-15|323.0|9|HORAS 100%    |9|DI|2.0|
2004-02-15|323.0|10|V. HORAS 100%  |10|DI|5.38|
2004-02-15|323.0|11|DIAS VACACIONES|11|DI|0.0|
2004-02-15|323.0|12|VALOR VACACIONE|12|DI|0.0|
2004-02-15|323.0|55|SS-APORTE PERS.|55|DE|17.21|
2004-02-15|323.0|61|OTROS DSCTO|59|DE|0.0|
2004-02-29|323.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-02-29|323.0|2|V.D. TRABAJADOS|2|DI|161.5|
2004-02-29|323.0|7|HORAS 50%   |7|DI|5.0|
2004-02-29|323.0|8|V. HORAS 50%   |8|DI|10.09|
2004-02-29|323.0|9|HORAS 100%    |9|DI|6.5|
2004-02-29|323.0|10|V. HORAS 100%  |10|DI|17.5|
2004-02-29|323.0|11|DIAS VACACIONES|11|DI|0.0|
2004-02-29|323.0|12|VALOR VACACIONE|12|DI|0.0|
2004-02-29|323.0|14|RUS            |14|DI|8.0|
2004-02-29|323.0|55|SS-APORTE PERS.|55|DE|17.68|
2004-02-29|323.0|61|OTROS DSCTO|59|DE|0.0|
2004-03-15|323.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-03-15|323.0|2|V.D. TRABAJADOS|2|DI|161.5|
2004-03-15|323.0|7|HORAS 50%   |7|DI|11.0|
2004-03-15|323.0|8|V. HORAS 50%   |8|DI|22.21|
2004-03-15|323.0|9|HORAS 100%    |9|DI|6.0|
2004-03-15|323.0|10|V. HORAS 100%  |10|DI|16.15|
2004-03-15|323.0|11|DIAS VACACIONES|11|DI|0.0|
2004-03-15|323.0|12|VALOR VACACIONE|12|DI|0.0|
2004-03-15|323.0|55|SS-APORTE PERS.|55|DE|18.69|
2004-03-15|323.0|61|OTROS DSCTO|59|DE|0.0|
2004-03-31|400.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-03-31|400.0|2|V.D. TRABAJADOS|2|DI|200.0|
2004-03-31|400.0|7|HORAS 50%   |7|DI|12.0|
2004-03-31|400.0|8|V. HORAS 50%   |8|DI|30.0|
2004-03-31|400.0|9|HORAS 100%    |9|DI|15.0|
2004-03-31|400.0|10|V. HORAS 100%  |10|DI|50.0|
2004-03-31|400.0|11|DIAS VACACIONES|11|DI|0.0|
2004-03-31|400.0|12|VALOR VACACIONE|12|DI|0.0|
2004-03-31|400.0|14|RUS            |14|DI|8.0|
2004-03-31|400.0|55|SS-APORTE PERS.|55|DE|26.18|
2004-03-31|400.0|61|OTROS DSCTO|59|DE|0.0|
2004-04-15|400.0|1|DIAS TRABAJADOS|1|DI|15.0|
2004-04-15|400.0|2|V.D. TRABAJADOS|2|DI|200.0|
2004-04-15|400.0|7|HORAS 50%   |7|DI|8.0|
2004-04-15|400.0|8|V. HORAS 50%   |8|DI|20.0|
2004-04-15|400.0|9|HORAS 100%    |9|DI|0.0|
